,Precinct,OfnsDesc,CrimeCount
258,10,DISORDERLY CONDUCT,16
259,10,MURDER & NON-NEGL. MANSLAUGHTER,3
260,10,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),3
261,10,MISCELLANEOUS PENAL LAW,110
262,10,RAPE,2
263,10,INTOXICATED & IMPAIRED DRIVING,185
264,10,FORGERY,72
265,10,OFFENSES AGAINST PUBLIC ADMINISTRATION,65
266,10,CRIMINAL MISCHIEF & RELATED OFFENSES,100
267,10,FORCIBLE TOUCHING,5
268,10,OTHER STATE LAWS,197
269,10,OTHER STATE LAWS (NON PENAL LAW),64
270,10,JOSTLING,2
271,10,INTOXICATED/IMPAIRED DRIVING,8
272,10,FELONY ASSAULT,98
273,10,ASSAULT 3 & RELATED OFFENSES,197
274,10,SEX CRIMES,12
275,10,ROBBERY,93
276,10,DANGEROUS DRUGS,523
277,10,PETIT LARCENY,36
278,10,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,22
279,13,GRAND LARCENY,154
280,13,OFFENSES INVOLVING FRAUD,24
281,13,F.C.A. P.I.N.O.S.,2
282,13,GRAND LARCENY OF MOTOR VEHICLE,2
283,13,HARASSMENT,2
284,13,ASSAULT 3 & RELATED OFFENSES,262
285,13,RAPE,2
286,13,POSSESSION OF STOLEN PROPERTY,21
287,13,VEHICLE AND TRAFFIC LAWS,22
288,13,OTHER STATE LAWS (NON PENAL LAW),314
289,13,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),2
290,13,BURGLAR'S TOOLS,11
291,13,CRIMINAL MISCHIEF & RELATED OFFENSES,112
292,13,SEX CRIMES,9
293,13,FRAUDULENT ACCOSTING,7
294,13,FRAUDS,30
295,13,OTHER STATE LAWS (NON PENAL LA,8
296,13,MURDER & NON-NEGL. MANSLAUGHTER,1
297,13,FORCIBLE TOUCHING,32
298,13,MOVING INFRACTIONS,1
299,13,JOSTLING,1
300,13,ARSON,1
301,13,DANGEROUS DRUGS,663
302,13,OFFENSES AGAINST PUBLIC ADMINISTRATION,80
303,13,OTHER STATE LAWS,466
304,13,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,34
305,13,MISCELLANEOUS PENAL LAW,100
306,13,FELONY ASSAULT,98
307,13,INTOXICATED/IMPAIRED DRIVING,4
308,13,BURGLARY,87
309,13,POSSESSION OF STOLEN PROPERTY 5,569
310,13,CRIMINAL TRESPASS,77
311,13,OTHER OFFENSES RELATED TO THEFT,931
312,13,GAMBLING,14
313,13,ROBBERY,71
314,13,PETIT LARCENY,136
315,13,FORGERY,132
316,13,HARRASSMENT 2,6
317,13,OTHER TRAFFIC INFRACTION,119
318,13,DISORDERLY CONDUCT,48
319,13,PROSTITUTION & RELATED OFFENSES,16
320,13,THEFT-FRAUD,29
321,13,DANGEROUS WEAPONS,125
322,13,OFFENSES AGAINST THE PERSON,11
323,13,CHILD ABANDONMENT/NON SUPPORT 1,3
324,13,INTOXICATED & IMPAIRED DRIVING,63
325,14,OFFENSES INVOLVING FRAUD,90
326,14,SEX CRIMES,53
