Precinct,AgeGroup,PerpSex,CrimeCount
110,18-24,M,420
110,18-24,F,85
110,65+,M,21
110,45-64,M,282
110,25-44,F,198
110,65+,F,8
110,25-44,M,1031
110,45-64,F,66
110,<18,M,66
111,45-64,F,21
111,65+,M,7
111,<18,F,2
111,65+,F,2
111,<18,M,18
111,18-24,M,102
111,18-24,F,22
111,25-44,F,61
111,25-44,M,238
111,45-64,M,105
112,65+,F,3
112,25-44,M,508
112,<18,F,2
112,<18,M,29
112,25-44,F,83
112,18-24,F,27
112,45-64,F,27
112,45-64,M,198
112,18-24,M,170
112,65+,M,16
113,65+,M,48
113,65+,F,3
113,45-64,M,530
113,18-24,F,161
113,<18,F,19
113,45-64,F,113
113,<18,M,117
113,18-24,M,559
113,25-44,M,1421
113,25-44,F,346
114,18-24,M,463
114,65+,M,33
114,45-64,M,445
114,18-24,F,88
114,<18,F,7
114,45-64,F,76
114,25-44,M,1246
114,<18,M,43
114,65+,F,2
114,25-44,F,256
115,45-64,F,73
115,18-24,F,90
115,<18,M,73
115,65+,M,19
115,25-44,F,213
115,45-64,M,342
115,25-44,M,1291
115,<18,F,20
115,18-24,M,432
115,65+,F,3
120,25-44,M,1082
120,45-64,F,49
120,<18,M,94
120,25-44,F,262
120,18-24,F,77
120,65+,M,18
120,<18,F,15
120,45-64,M,399
120,65+,F,8
120,18-24,M,375
121,<18,F,14
121,18-24,M,370
121,45-64,F,61
121,<18,M,51
121,65+,F,5
121,18-24,F,110
121,65+,M,7
121,25-44,M,746
121,25-44,F,227
121,45-64,M,279
122,25-44,M,546
122,<18,M,26
122,25-44,F,146
122,65+,M,17
122,45-64,M,231
122,<18,F,6
122,18-24,M,176
122,18-24,F,29
122,65+,F,3
122,45-64,F,47
123,18-24,M,91
123,65+,F,3
123,<18,F,4
123,45-64,M,169
123,25-44,M,304
123,<18,M,24
123,45-64,F,21
123,18-24,F,23
123,25-44,F,68
123,65+,M,12
