,Precinct,AgeGroup,PerpSex,CrimeCount
681,106,<18,F,58
682,106,18-24,M,1054
683,106,25-44,M,1590
684,106,45-64,F,55
685,106,<18,M,406
686,106,65+,M,14
687,106,25-44,F,210
688,107,<18,F,79
689,107,<18,M,422
690,107,65+,M,21
691,107,25-44,F,230
692,107,18-24,M,770
693,107,317,F,1
694,107,25-44,M,1024
695,107,45-64,M,289
696,107,45-64,F,68
697,107,18-24,F,105
698,108,<18,F,62
699,108,65+,M,17
700,108,18-24,M,783
701,108,45-64,M,414
702,108,25-44,F,162
703,108,45-64,F,39
704,108,<18,M,307
705,108,18-24,F,100
706,108,65+,F,1
707,108,25-44,M,1582
708,109,25-44,M,1949
709,109,65+,F,4
710,109,65+,M,29
711,109,45-64,M,662
712,109,18-24,M,913
713,109,18-24,F,152
714,109,<18,M,412
715,109,25-44,F,426
716,109,45-64,F,182
717,109,<18,F,86
718,110,942,M,1
719,110,18-24,F,319
720,110,65+,M,29
721,110,25-44,M,2600
722,110,18-24,M,1726
723,110,<18,M,664
724,110,934,M,1
725,110,45-64,M,636
726,110,896,M,1
727,110,<18,F,208
728,110,25-44,F,500
729,110,65+,F,9
730,110,926,M,1
731,110,45-64,F,171
732,111,<18,F,61
733,111,25-44,M,589
734,111,<18,M,221
735,111,65+,M,15
736,111,18-24,M,497
737,111,45-64,F,68
738,111,25-44,F,140
739,111,65+,F,2
740,111,18-24,F,71
741,111,45-64,M,176
742,112,18-24,F,87
743,112,<18,M,226
744,112,65+,F,5
745,112,45-64,F,85
746,112,18-24,M,554
747,112,65+,M,17
748,112,25-44,F,194
749,112,45-64,M,316
750,112,<18,F,39
751,112,25-44,M,903
752,113,25-44,F,491
753,113,<18,M,374
754,113,18-24,F,271
755,113,18-24,M,1261
756,113,45-64,M,1145
757,113,25-44,M,2463
758,113,65+,F,5
759,113,45-64,F,162
760,113,<18,F,106
761,113,65+,M,54
762,114,18-24,M,1954
763,114,<18,F,147
764,114,45-64,F,167
765,114,45-64,M,866
766,114,25-44,M,2910
767,114,18-24,F,292
768,114,25-44,F,466
769,114,65+,F,5
770,114,65+,M,34
771,114,<18,M,719
772,115,25-44,M,3734
773,115,18-24,M,2233
774,115,18-24,F,192
775,115,<18,F,47
776,115,<18,M,496
777,115,231,M,1
778,115,65+,M,35
779,115,25-44,F,452
780,115,45-64,M,821
781,115,65+,F,4
782,115,45-64,F,129
783,115,895,M,3
784,120,45-64,F,240
785,120,65+,M,38
786,120,922,M,1
787,120,18-24,F,401
788,120,18-24,M,1853
789,120,25-44,M,2654
790,120,65+,F,7
791,120,45-64,M,840
792,120,25-44,F,684
793,120,<18,M,752
794,120,926,F,1
795,120,<18,F,174
796,122,45-64,M,383
797,122,25-44,F,316
798,122,25-44,M,1194
799,122,<18,F,142
800,122,65+,M,14
801,122,45-64,F,142
802,122,18-24,M,812
803,122,65+,F,2
804,122,<18,M,404
805,122,18-24,F,234
806,123,18-24,F,45
807,123,<18,F,22
808,123,18-24,M,311
809,123,45-64,F,35
810,123,65+,M,8
811,123,25-44,F,81
812,123,<18,M,144
813,123,25-44,M,351
814,123,45-64,M,126
