,SchoolDist,OfnsDesc,CrimeCount
293,6,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,155
294,6,OTHER STATE LAWS (NON PENAL LAW),160
295,6,OFFENSES INVOLVING FRAUD,37
296,6,OTHER STATE LAWS (NON PENAL LA,47
297,6,CRIMINAL TRESPASS,1124
298,6,LOITERING FOR DRUG PURPOSES,4
299,6,OTHER OFFENSES RELATED TO THEFT,1043
300,6,KIDNAPPING & RELATED OFFENSES,3
301,6,OTHER STATE LAWS,677
302,6,DISRUPTION OF A RELIGIOUS SERVICE,2
303,6,VEHICLE AND TRAFFIC LAWS,375
304,6,DANGEROUS WEAPONS,564
305,6,LOITERING,1
306,6,ROBBERY,457
307,6,OTHER TRAFFIC INFRACTION,840
308,6,FELONY ASSAULT,397
309,6,MISCELLANEOUS PENAL LAW,396
310,6,OFFENSES AGAINST PUBLIC ADMINISTRATION,479
311,6,DANGEROUS DRUGS,5663
312,6,ANTICIPATORY OFFENSES,2
313,6,CRIMINAL MISCHIEF & RELATED OF,1
314,6,ASSAULT 3 & RELATED OFFENSES,1247
315,6,JOSTLING,2
316,7,HARRASSMENT 2,4
317,7,CRIMINAL TRESPASS,1424
318,7,MURDER & NON-NEGL. MANSLAUGHTER,58
319,7,OFFENSES AGAINST THE PERSON,38
320,7,GRAND LARCENY,111
321,7,FRAUDS,39
322,7,MOVING INFRACTIONS,2
323,7,FELONY ASSAULT,393
324,7,GAMBLING,7
325,7,GRAND LARCENY OF MOTOR VEHICLE,7
326,7,SEX CRIMES,61
327,7,KIDNAPPING & RELATED OFFENSES,3
328,7,ARSON,3
329,7,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,236
330,7,ALCOHOLIC BEVERAGE CONTROL LAW,2
331,7,OFFENSES AGAINST PUBLIC ADMINISTRATION,449
332,7,POSSESSION OF STOLEN PROPERTY,17
333,7,THEFT-FRAUD,7
334,7,CRIMINAL MISCHIEF & RELATED OFFENSES,266
335,7,INTOXICATED & IMPAIRED DRIVING,69
336,7,CHILD ABANDONMENT/NON SUPPORT 1,7
337,7,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),7
338,7,BURGLAR'S TOOLS,2
339,7,OFFENSES RELATED TO CHILDREN,8
340,7,HARASSMENT,80
341,7,BURGLARY,90
